card_id,url_canonical,question,answer,learned,created_at_utc
422780d48fc32402,https://www.confident-ai.com/blog/why-llm-as-a-judge-is-the-best-llm-evaluation-method,What is 'LLM-as-a-Judge' in evaluating LLM outputs?,"LLM-as-a-Judge uses language models to automatically score LLM outputs based on custom criteria like relevancy, helpfulness, faithfulness, bias, and correctness.",False,2025-09-13T16:33:34.033902Z
7a64dabeca7e0612,https://www.confident-ai.com/blog/why-llm-as-a-judge-is-the-best-llm-evaluation-method,What are the two main types of LLM-as-a-Judge?,Single-output judges score individual model outputs either with or without a reference; pairwise judges compare two outputs and pick the better one without scoring.,False,2025-09-13T16:33:34.033902Z
ebd4511c91826032,https://blog.langchain.com/the-rise-of-context-engineering/,What is context engineering in LLM applications?,Context engineering is building dynamic systems to provide the right information and tools in the right format so an LLM can plausibly accomplish the task.,False,2025-09-13T16:33:38.807195Z
3486f2905c78aee0,https://blog.langchain.com/the-rise-of-context-engineering/,Why do many LLM agentic systems fail?,"Failures often arise because the model is not passed appropriate context, missing key information, tools, or well-formatted inputs, rather than the model itself being insufficient.",False,2025-09-13T16:33:38.807195Z
54e36a368ccd7bbc,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,What are the four main skill groups needed for an ML/AI Product Manager?,"Product strategy, product delivery, influencing, and tech fluency are key skill groups for ML/AI Product Managers.",False,2025-09-13T17:29:22.622214Z
ccddd36221d8404f,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,How does product strategy influence ML/AI Product Management?,"It involves understanding user pains, prioritizing problems based on evidence, focusing on user value over tech novelty, and aligning with OKRs and impact.",False,2025-09-13T17:29:22.622214Z
35b29d094693325a,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,What does product delivery emphasize for ML/AI PMs?,"Efficiently managing initiatives through phases like discovery, design, and iteration while delivering value via MVPs, fast delivery, and continuous impact measurement.",False,2025-09-13T17:29:22.622214Z
71465759f4492d18,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,Why is influencing important for ML/AI Product Managers?,"It builds trust, aligns stakeholders, communicates complex ML topics clearly, ensures team visibility, and involves guiding and sometimes challenging teams.",False,2025-09-13T17:29:22.622214Z
3f08da30e3b6af5a,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,What does tech fluency mean for an ML/AI Product Manager?,"It includes strong ML knowledge, responsible AI awareness, data fluency, understanding MLOps and back-end engineering to effectively lead and challenge ML projects.",False,2025-09-13T17:29:22.622214Z
7aea6b0053536d2f,https://blog.langchain.com/the-rise-of-context-engineering,What is context engineering in LLM applications?,Context engineering is building dynamic systems that provide the right information and tools in the right format for an LLM to plausibly accomplish a task.,False,2025-09-13T17:31:12.157397Z
81b48d6ad4b37115,https://blog.langchain.com/the-rise-of-context-engineering,Why do agentic LLM systems often fail?,"Failures mostly occur because the LLM was not given the appropriate context, instructions, or tools, not because the model itself is inadequate.",False,2025-09-13T17:31:12.157397Z
f36a95cd76a676ef,https://blog.langchain.com/the-rise-of-context-engineering,How does context engineering differ from prompt engineering?,"Prompt engineering is a subset of context engineering focused on crafting prompts, while context engineering involves dynamically assembling complete, structured info and tools for the LLM.",False,2025-09-13T17:31:12.157397Z
5ed3bcb726a67b83,https://blog.langchain.com/the-rise-of-context-engineering,What are key elements to provide in context engineering for successful LLM outputs?,"You need the right information, the right tools, proper formatting, and dynamic assembly of context that allows the LLM to plausibly accomplish the task.",False,2025-09-13T17:31:12.157397Z
b59063eae6e58df2,https://blog.langchain.com/the-rise-of-context-engineering,How does LangGraph support context engineering?,"LangGraph offers full control over agent steps, inputs to the LLM, and output storage, allowing flexible and comprehensive context engineering unlike restrictive agent frameworks.",False,2025-09-13T17:31:12.157397Z
765e84944efeed03,https://langchain-ai.github.io/langgraph/concepts/memory,What is the primary function of short-term memory in AI agents?,"Short-term memory tracks ongoing conversation history within a session, maintaining context for a single thread to improve interaction continuity.",False,2025-09-13T18:01:55.530080Z
2a17b942075803ff,https://langchain-ai.github.io/langgraph/concepts/memory,How does LangGraph manage short-term memory for AI agents?,"LangGraph manages short-term memory as part of the agent's state, persisted through thread-scoped checkpoints, enabling resumption and context retention per thread.",False,2025-09-13T18:01:55.530080Z
871281326bf8406d,https://langchain-ai.github.io/langgraph/concepts/memory,What distinguishes long-term memory from short-term memory in AI agents?,"Long-term memory stores user- or application-specific data across sessions and threads in custom namespaces, enabling recall across conversations.",False,2025-09-13T18:01:55.530080Z
daf1aa03810a8fb5,https://langchain-ai.github.io/langgraph/concepts/memory,What are the main types of memory described for AI agents and their human analogs?,"Semantic memory (facts and concepts), episodic memory (past events or experiences), and procedural memory (rules or tasks).",False,2025-09-13T18:01:55.530080Z
3aed68751c1be1d0,https://langchain-ai.github.io/langgraph/concepts/memory,What is semantic memory in AI agents and how does it differ from semantic search?,"Semantic memory stores facts and concepts for personalization, whereas semantic search retrieves information based on meaning using embeddings.",False,2025-09-13T18:01:55.530080Z
